Dự án,Phân khu,Toà,Mã căn,Loại căn hộ,Hướng ban công,Diện tích thông thủy,Diện tích tim tường,Giá chưa VAT và KPBT,Giá gồm VAT và KPBT,Ngày Nhập Quỹ,"Đơn giá gồm CSBH (exc VAT, KPBT)",CK TTTTD (7%),"Đơn giá gồm CSBH (ex VAT, KPBT, CK TTTTĐ)",Miễn 5 năm DV,Quà tặng chào hè,Nội thất,CK BLNH (0.8%),Giá NET,Đơn giá NET,Tổng quà tặng
Vinhomes Smart City,Sakura,SA2,SA23810,3PN,Tây Bắc- Tây Nam,78.3,,"3,743,636,136","4,186,663,494",Bổ sung nhập quỹ ngày 20/06/2022,47811444.9,"262,054,530","44,464,644","54,810,000","30,000,000","120,000,000","33,493,308","3,273,278,297","41,804,321","238,303,308"
Vinhomes Smart City,Sakura,SA2,SA23805,3PN,Đông Nam- Tây Nam,75.5,,"3,541,123,520","3,960,071,397",Bổ sung nhập quỹ ngày 20/06/2022,46902298.28,"247,878,646","43,619,137","52,850,000","30,000,000","120,000,000","31,680,571","3,088,714,300","40,910,123","234,530,571"
Vinhomes Smart City,Sakura,SA2,SA23710,3PN,Tây Bắc- Tây Nam,78.3,,"3,777,591,062","4,224,693,010",Bổ sung nhập quỹ ngày 20/06/2022,48245096.58,"264,431,374","44,867,940","54,810,000","30,000,000","120,000,000","33,797,544","3,304,552,142","42,203,731","238,607,544"
Vinhomes Smart City,Sakura,SA2,SA23705,3PN,Đông Nam- Tây Nam,75.5,,"3,572,755,520","3,995,499,237",Bổ sung nhập quỹ ngày 20/06/2022,47321265.17,"250,092,886","44,008,777","52,850,000","30,000,000","120,000,000","31,963,994","3,117,848,638","41,296,008","234,813,994"
Vinhomes Smart City,Sakura,SA2,SA23610,3PN,Tây Bắc- Tây Nam,78.3,,"3,811,546,156","4,262,722,716",Bổ sung nhập quỹ ngày 20/06/2022,48678750.4,"266,808,231","45,271,238","54,810,000","30,000,000","120,000,000","34,101,782","3,335,826,141","42,603,144","238,911,782"
Vinhomes Smart City,Sakura,SA2,SA23605,3PN,Đông Nam- Tây Nam,75.5,,"3,604,387,685","4,030,927,261",Bổ sung nhập quỹ ngày 20/06/2022,47740234.24,"252,307,138","44,398,418","52,850,000","30,000,000","120,000,000","32,247,418","3,146,983,127","41,681,896","235,097,418"
Vinhomes Smart City,Sakura,SA2,SA23510,3PN,Tây Bắc- Tây Nam,78.3,,"3,845,501,337","4,300,752,519",Bổ sung nhập quỹ ngày 20/06/2022,49112405.33,"269,185,094","45,674,537","54,810,000","30,000,000","120,000,000","34,406,020","3,367,100,221","43,002,557","239,216,020"
Vinhomes Smart City,Sakura,SA2,SA23505,3PN,Đông Nam- Tây Nam,75.5,,"3,636,019,734","4,066,355,156",Bổ sung nhập quỹ ngày 20/06/2022,48159201.77,"254,521,381","44,788,058","52,850,000","30,000,000","120,000,000","32,530,841","3,176,117,509","42,067,782","235,380,841"
Vinhomes Smart City,Sakura,SA2,SA23410,3PN,Tây Bắc- Tây Nam,78.3,,"3,879,456,289","4,338,782,065",Bổ sung nhập quỹ ngày 20/06/2022,49546057.33,"271,561,940","46,077,833","54,810,000","30,000,000","120,000,000","34,710,257","3,398,374,090","43,401,968","239,520,257"
